'GAUGE','z1reg','z2reg','z3reg','z4reg'
'X9221',3.696089473,-0.273987494,-0.118933548,0.854293025
'C7Z1',1.183414198,-1.785694449,2.626342592,-0.008734605
'AN520',1.471638035,-0.709761089,-0.633796985,0.387625534
'X9269',-0.607680366,0.165890901,1.489629491,-0.101914247
'X9257',2.654907039,-0.173826827,-1.154464892,-0.775043965
'AN530',0.413535594,-1.414829138,-1.560470305,-0.0678258
'C8Z1',1.254819924,-2.902332923,1.835957792,0.483354991
'AN439',1.021994676,-1.926488189,-0.114501718,0.778524654
'X9197',-0.526666265,1.202972684,-0.985988835,-0.615497243
'X1404',-10.05860126,0.257053169,-0.464281202,3.235905712
'X1265',-7.888771833,1.606658344,-0.926928156,1.447419209
'X1303',-4.797052336,-3.518303814,-0.172297815,1.061652793
'AN313',-2.239205095,-1.293907187,-2.146043119,0.810053025
'X1353',-10.75322445,-0.067700336,-0.363875175,1.556998439
'AN433',-5.394977282,-2.132382176,-1.543391474,0.882065371
'X9040',-8.789435907,1.180820394,0.520714069,-0.981894565
